username,time,content
c***d,2017-06-18 20:24:53,朋友很喜欢。因为我留错了手机号，还麻烦客服帮我联系了一下派件员，真是十分抱歉。总之皇商的客服是十分给力的，谢谢啦！
k***o,2017-08-01 21:55:32,棒棒哒！各种用途！
别***婵,2018-06-12 14:47:35,送朋友的，很好看，很有意境的东东。
y***2,2018-01-26 10:28:21,做工蛮精细的，准备送给家里老人。
d***8,2018-03-01 12:41:22,产品质量很好， 速递员很棒，猛男。 速递员很棒， 猛男。
牵***猪,2017-12-30 15:04:02,此用户没有填写评论!
f***f,2018-01-14 20:47:44,超好看～很满意 下次还来～
t***s,2017-12-06 14:48:47,很喜欢
笔***丶,2017-03-23 21:48:48,真的精致到炸，第一眼就被惊艳到了。
文***君,2017-07-20 09:57:43,还可以
t***1,2018-03-19 16:18:29,姐们很喜欢，就是贵了点
m***y,2018-03-24 15:17:23,精美
o***y,2017-07-07 08:22:55,很好看，但还没打开用。
m***0,2017-11-15 14:59:45,很好，就是略贵
马***俭,2018-03-26 17:35:36,我被她的美震撼到了，值得拥有!
e***x,2018-03-12 09:57:02,看着美美哒，准备送人。
茵***r,2017-02-07 09:24:31,唯一不好的就是因为底部都是镂空的，香灰会直接掉在桌上
z***6,2017-06-22 22:41:51,小贵，不知道怎么折
梁***阿,2018-01-13 13:27:51,还行
n***e,2017-08-18 11:34:48,可做书签，可折纸般的折叠，只是会有折痕
月***的,2017-12-28 09:04:08,精致 适合送人
红***糖,2017-02-21 19:45:36,一口气买了6个   都很棒！
彩***色,2018-03-12 21:32:37,女朋友表示太好看了    包装都不拆   要当摆件。。。。
m***0,2017-06-21 20:19:59,很满意，当作送人的礼品，高、大、上，有文化底蕴。
咩***啾,2018-04-30 12:37:27,刚买了就下架了哈哈哈哈哈哈 特别好看！也很精致不过就是有点不好插因为底太低了
坏***人,2017-11-17 19:46:08,虽然小玩意儿挺贵，但老妈还是挺喜欢
d***3,2017-05-03 08:53:42,礼物，得到好评。一花一世界，这个寓意很棒。
木***羊,2017-10-09 13:04:12,精美
薄***樱,2018-03-17 12:28:28,香插超好看，就是不太舍得折，估计它在我这里最终只能当个书签了。
凹***凸,2018-01-26 09:52:35,很精致美观，放在家里是个实用的艺术品
潇***子,2017-12-14 20:41:17,感觉没有图片精美，包装也比较粗糙，不值那么贵，快递很快
蓝***丝,2018-03-19 14:37:37,很美～
樱***诺,2017-08-21 01:33:33,漂亮，就是孔有點對不上，香不好選
c***a,2018-03-26 19:11:49,没拆封
傲***爵,2017-05-11 23:16:33,很漂亮
污***q,2017-11-19 17:54:22,很精美哦朋友很喜欢哈
h***a,2017-01-04 22:20:51,送盆友的，她说很漂亮非常喜欢
e***y,2017-12-04 03:40:51,包装一般，东西老卡不住晃荡。东西不错的
l***i,2018-01-27 17:34:05,很快收到了
杨***4,2018-04-18 15:41:09,这个是很美了，这么快就下架啦
